	rmspe_pre	rmspe_post	ratio	
1	 2.7634947	 2.9032245	 1.0505627	
2	 2.4715106	 5.3708715	 2.1731129	
3	 1.9384793	 18.436453	 9.5107813	
4	 7.6515732	 2.2760317	  .2974593	
5	 5.4672322	 9.9643431	 1.8225571	
6	  9.575841	 21.900267	 2.2870333	
7	 1.3934826	  12.04899	 8.6466742	
8	 2.6464243	 6.1578197	 2.3268452	
9	 2.4673045	 8.4630585	 3.4300828	
10	  5.799262	   33.5923	 5.7925129	
11	 4.1376109	 6.6359382	 1.6038091	
12	  4.080842	 2.7790623	  .6810022	
13	 25.999582	 27.912443	 1.0735728	
14	 2.2097416	 6.1762118	 2.7949927	
15	 4.7228966	 10.411242	 2.2044187	
16	 4.2132673	 7.8256164	 1.8573748	
17	  2.380765	 5.5764413	 2.3422897	
18	 1.7552651	  6.512754	 3.7104104	
19	 2.3070641	 7.3902278	 3.2033041	
20	 2.8018475	 4.4337072	 1.5824227	
21	 7.5879898	 11.262172	 1.4842101	
22	 59.037762	 17.684906	 .29955244	
23	 2.4149241	  8.676158	 3.5927248	
24	 10.827213	 7.6548915	 .70700479	
25	 5.2425299	  4.055203	 .77352023	
26	 3.6106002	 1.3972906	 .38699675	
27	 3.2474797	 11.975924	 3.6877594	
28	 2.5639195	 3.3040783	 1.2886826	
29	 12.844191	 35.031403	 2.7274122	
30	 1.7875108	 6.3751879	 3.5665171	
31	 3.1509795	 6.7339277	 2.1370902	
32	 2.6580875	 13.034727	 4.9037991	
33	 2.7779956	  12.54017	 4.5141072	
34	 24.367277	 14.942417	 .61321652	
35	 7.8629274	 11.907207	 1.5143479	
36	 2.1703534	  15.72579	  7.245728	
37	 3.6089456	 21.921181	 6.0741234	
38	 2.8042009	 5.5926909	 1.9943974	
39	 12.079819	 5.1978331	 .43029064	
