	rmspe_pre	rmspe_post	ratio	
1	 139.82201	 726.73053	 5.1975403	
2	 6.4299202	 59.924129	 9.3195763	
4	 36.442703	 380.33939	 10.436641	
5	 82.673264	 2059.4209	 24.910362	
6	 4368.1045	 8527.4248	 1.9522026	
8	 126.24043	 830.20062	 6.5763454	
9	 253.11749	 1260.9415	 4.9816451	
10	 16.811556	 391.44128	 23.284061	
11	 398.03677	 5104.5991	 12.824441	
12	 544.27521	 7999.9111	 14.698283	
13	 183.46541	 4039.3071	 22.016724	
15	 5.7624655	 37.245686	 6.4634981	
16	 5.3476167	 39.705994	 7.4249887	
17	 298.57199	 8985.0967	 30.093569	
18	 119.98631	 410.45096	 3.4208148	
20	 103.39201	 380.79956	 3.6830654	
21	 24.665695	 520.36072	 21.096535	
22	 201.41119	 2169.6101	 10.772043	
23	 7.5956144	 22.562901	 2.9705169	
24	 416.14227	 3602.4026	  8.656661	
25	 137.40099	  834.5033	 6.0734882	
26	 483.70569	 2686.4502	  5.553894	
27	 45.502926	 139.62672	  3.068522	
28	 157.26752	 3011.0847	 19.146259	
29	 108.42336	 1864.0648	 17.192465	
30	 2.2925005	 36.378609	 15.868528	
31	 25.598936	 341.35062	 13.334562	
32	 42.841576	 248.04332	 5.7897806	
33	 9.3264503	  23.69138	 2.5402355	
34	 285.61667	 1037.4036	 3.6321535	
35	 14.667376	 118.31487	 8.0665331	
36	 1022.5202	 13809.393	 13.505252	
37	 581.20581	 1904.6483	 3.2770634	
38	 2.2596269	 24.041157	 10.639437	
39	 454.71039	   1385.85	 3.0477641	
40	 59.459686	 1104.1683	 18.570032	
41	 46.802353	 68.689148	  1.467643	
42	 60.188557	 1427.7275	 23.720913	
45	 121.34007	 2374.0767	 19.565479	
46	 2.3853366	  14.79373	 6.2019463	
47	  205.8777	 2433.7344	 11.821262	
48	 846.26965	  24163.17	 28.552567	
49	 2.9603386	 51.636021	 17.442606	
51	 77.178696	 1594.2841	 20.657049	
53	 62.218632	 1022.6718	 16.436745	
55	 78.172585	 1770.8577	 22.653181	
